==45242== NVPROF is profiling process 45242, command: ./GEMM -s 4
==45242== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==45242== Some kernel(s) will be replayed on device 2 in order to collect all events/metrics.
==45242== Profiling application: ./GEMM -s 4
==45242== Profiling result:
==45242== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"inst_per_warp","Instructions per warp",288545.000000,288545.000000,288545.000000
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"branch_efficiency","Branch Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",99.969156%,99.969156%,99.969156%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"inst_replay_overhead","Instruction Replay Overhead",0.000003,0.000004,0.000003
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",1.995386,1.995386,1.995386
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",3.992330,3.992330,3.992330
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"gld_transactions_per_request","Global Load Transactions Per Request",60.014652,60.014652,60.014652
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"gst_transactions_per_request","Global Store Transactions Per Request",4.000000,4.000000,4.000000
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"shared_store_transactions","Shared Store Transactions",34111488,34111488,34111488
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"shared_load_transactions","Shared Load Transactions",269221888,269221888,269221888
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"gld_transactions","Global Load Transactions",536870914,536870914,536870914
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"gst_transactions","Global Store Transactions",2097152,2097152,2097152
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"l2_read_transactions","L2 Read Transactions",133938832,134151288,134062676
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"l2_write_transactions","L2 Write Transactions",2097172,2097172,2097172
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"dram_read_transactions","Device Memory Read Transactions",29772003,50012639,44676883
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"dram_write_transactions","Device Memory Write Transactions",2127337,2128993,2128539
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"global_hit_rate","Global Hit Rate in unified l1/tex",0.029016%,0.186133%,0.125045%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"gld_requested_throughput","Requested Global Load Throughput",288.075642GB/s,290.450538GB/s,289.232250GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"gst_requested_throughput","Requested Global Store Throughput",4.501182GB/s,4.538290GB/s,4.519254GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"gld_throughput","Global Load Throughput",288.075642GB/s,290.450538GB/s,289.232250GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"gst_throughput","Global Store Throughput",4.501182GB/s,4.538290GB/s,4.519254GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"local_memory_overhead","Local Memory Overhead",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"tex_cache_hit_rate","Unified Cache Hit Rate",1.561009%,1.683172%,1.640612%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"l2_tex_read_hit_rate","L2 Hit Rate (Texture Reads)",61.057718%,78.430811%,66.593346%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"l2_tex_write_hit_rate","L2 Hit Rate (Texture Writes)",0.000000%,0.000000%,0.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"dram_read_throughput","Device Memory Read Throughput",64.349835GB/s,107.772888GB/s,96.276368GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"dram_write_throughput","Device Memory Write Throughput",4.568167GB/s,4.606384GB/s,4.586892GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"tex_cache_throughput","Unified Cache Throughput",288.075642GB/s,290.450538GB/s,289.232250GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"l2_tex_read_throughput","L2 Throughput (Texture Reads)",287.755718GB/s,290.160684GB/s,288.873642GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"l2_tex_write_throughput","L2 Throughput (Texture Writes)",4.501182GB/s,4.538290GB/s,4.519254GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"l2_read_throughput","L2 Throughput (Reads)",287.724365GB/s,290.175499GB/s,288.898122GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"l2_write_throughput","L2 Throughput (Writes)",4.501225GB/s,4.538333GB/s,4.519297GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"sysmem_write_throughput","System Memory Write Throughput",11.252930KB/s,11.345703KB/s,11.296875KB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"shared_load_throughput","Shared Memory Load Throughput",2311.356907GB/s,2330.411740GB/s,2320.636879GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"shared_store_throughput","Shared Memory Store Throughput",292.858148GB/s,295.272471GB/s,294.033957GB/s
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"gld_efficiency","Global Memory Load Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"gst_efficiency","Global Memory Store Efficiency",100.000000%,100.000000%,100.000000%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"tex_cache_transactions","Unified Cache Transactions",134217728,134217728,134217728
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"flop_count_dp_add","Floating Point Operations(Double Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"flop_count_dp_fma","Floating Point Operations(Double Precision FMA)",0,0,0
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"flop_count_dp_mul","Floating Point Operations(Double Precision Mul)",0,0,0
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"flop_count_sp","Floating Point Operations(Single Precision)",137490071552,137490071552,137490071552
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",0,0,0
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"flop_count_sp_fma","Floating Point Operations(Single Precision FMA)",68736516096,68736516096,68736516096
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",17039360,17039360,17039360
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"flop_count_sp_special","Floating Point Operations(Single Precision Special)",262144,262144,262144
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"inst_executed","Instructions Executed",2363760640,2363760640,2363760640
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"inst_issued","Instructions Issued",2363768087,2363770843,2363768969
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"dram_utilization","Device Memory Utilization","Low (2)","Low (2)","Low (2)"
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"sysmem_utilization","System Memory Utilization","Low (1)","Low (1)","Low (1)"
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",2.472937%,2.525375%,2.497762%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",0.172217%,0.179237%,0.175376%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"stall_memory_dependency","Issue Stall Reasons (Data Request)",0.109924%,0.135981%,0.119862%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"stall_texture","Issue Stall Reasons (Texture)",0.000023%,0.002589%,0.001109%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"stall_sync","Issue Stall Reasons (Synchronization)",13.597550%,13.792304%,13.687509%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"stall_other","Issue Stall Reasons (Other)",18.830308%,19.013026%,18.923002%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"stall_constant_memory_dependency","Issue Stall Reasons (Immediate constant)",0.002787%,0.005212%,0.003146%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"stall_pipe_busy","Issue Stall Reasons (Pipe Busy)",0.370239%,0.399787%,0.384723%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"shared_efficiency","Shared Memory Efficiency",44.599020%,44.599020%,44.599020%
"Tesla P100-SXM2-16GB (2)","sgemm_128x128x8_TN_vec",50,"inst_fp_32","FP Instructions(Single)",68753817600,68753817600,68753817600
